Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2021-07-21,141.72894287109375,142.4405225803077,140.97839449756518,141.8556653977963,74993500
1,2021-07-22,143.09356689453125,144.45821346206498,142.1285572602189,142.25527975346566,77338200
2,2021-07-23,144.80914306640625,144.9651069434816,143.2105505102186,143.82464898024415,71447400
3,2021-07-26,145.22830200195312,146.04709009069717,143.97086362595675,144.52647939059113,72434100
4,2021-07-27,143.0643310546875,145.44272791296905,141.87513262554674,145.35498894389306,104818600
5,2021-07-28,141.31948852539062,143.25924964240136,138.9410921453255,141.15378253150473,118931200
6,2021-07-29,141.96287536621094,142.84990322262558,140.92964066468824,141.03686397561236,56699500
7,2021-07-30,142.1772918701172,142.63542638578699,140.4714762953773,140.73466343435456,70440600
8,2021-08-02,141.84588623046875,143.23977416644965,141.5826990796388,142.66467417357075,62880000
9,2021-08-03,143.63943481445312,144.30225894055675,141.51446802349406,142.12856645538005,64786600
10,2021-08-04,143.23977661132812,144.05856456840556,142.5866946784069,143.55170433223327,56368300
11,2021-08-05,143.3470001220703,144.10730535100612,142.47947159810346,143.2690181917266,46397700
12,2021-08-06,142.66366577148438,143.61059289976055,142.16580285802874,142.86867690985883,54126800
13,2021-08-09,142.61485290527344,143.21034301067533,142.05841963396023,142.72223685529076,48908700
14,2021-08-10,142.1365509033203,144.19635994581478,141.84368416396723,142.95656585685202,69023100
15,2021-08-11,142.39031982421875,143.22986295766566,142.0681679932176,142.57580253562702,48493500
16,2021-08-12,145.34823608398438,145.5044336133679,142.37078584930737,142.71246608285676,72282600
17,2021-08-13,145.5532684326172,145.88517705910473,144.7430103885552,145.42635605950554,59375000
18,2021-08-16,147.5252227783203,147.59356480078714,142.9858407795006,145.00659283395282,103296000
19,2021-08-17,146.61734008789062,148.07188700426227,145.5435005089824,146.6563820290242,92229700
20,2021-08-18,142.8784637451172,147.13475089008148,142.67345256358962,146.23663716721276,86326000
21,2021-08-19,143.21034240722656,144.4794213850425,141.0626783117476,141.5800696426097,86960300
